"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20754.2314588017","22430.0608851406","23485.0631324612","25025.6710297616","26786.9896323455","27193.507454461","27184.5981531128","28719.3496232204","28743.8279844168","28658.0715965649","30750.4753409995","32183.5103868128","31990.3090339062","32656.8186755906","35658.2117168976","36269.7110632289","37365.6109099996","39080.8877872906","40064.6537521341","35167.8746322787","34232.7267408966","35778.4917971718","34762.7881837471","36877.0141316881","36763.2090049195","37231.9184954158","37444.4410939295","38697.9495072882","40379.2937237331","40124.7579975465","30437.2025162434","38226.146156979","45236.0212143789","",
"Africa Eastern and Southern","AFE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1816.03586561908","1829.11449296216","1787.91591927742","1780.64136965485","1804.26996906379","1875.22724851831","1962.12738205471","2029.9326816621","2039.89863476393","2074.86648276815","2140.70967930436","2212.6018755144","2276.54427020745","2337.1633136236","2470.34042487205","2636.26427294402","2822.55445718829","3010.62082301818","3122.06299883979","3081.05185261468","3190.83778388886","3296.3694127623","3211.16338304235","3337.14221945833","3473.84325265686","3502.29666225392","3595.84104139358","3640.62858239979","3695.3868844571","3783.51875125366","3666.87196121749","3967.40062889228","4294.02528117969","4459.76413365087",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","838.000704535831","770.309174116423","943.178748122706","970.716231510975","971.926516743809","1075.79535526504","1121.00333345163","1287.27531546398","1336.54439522081","1575.33212595399","1771.45142820424","1749.93699491677","1994.5352769908","2138.75306025805","2229.67953873833","2289.37198611713","2217.29678631971","2338.77869693875","2436.0063198102","2589.410395542","2568.34190916779","2138.87024713086","2092.87995224662","",
"Africa Western and Central","AFW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1741.68751953343","1775.45911797902","1810.20696479946","1784.32676034435","1774.0710172743","1801.22684034669","1870.09379489525","1936.50763562733","1977.07863824411","1985.3460098276","2049.5890565845","2145.2600248862","2317.91952767418","2425.47357028749","2613.30442819205","2773.00164160447","2927.38455793796","3082.08026544191","3247.28124358094","3369.7820276477","3544.06905200025","3690.53906327168","3806.79312171908","3971.19976978317","4180.42772373345","4130.73627388289","4072.79226056154","4139.38760428211","4272.38785238209","4525.09124361269","4503.39664759409","4756.30841947667","5156.12010265163","5389.58089595791",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3283.4719063483","3316.01456420253","3091.48459857917","2330.8755548757","2336.58766706354","2654.63426559513","2968.83952164623","3133.45363715996","3210.30342052341","3221.13288571403","3286.35849348127","3388.52452758099","3783.14284787898","3839.85414345936","4224.13973826134","4836.22688178372","5364.96508745605","6057.77173013173","6616.76877947514","6471.34792224544","6587.40828534919","6700.11409977804","7351.76076688254","7566.4230507907","7999.82685137622","7127.3395733001","6850.38462458694","6998.79618747166","7353.34998821375","7533.51185400503","6455.119982133","7414.27895783202","7928.6414975388","8040.54360062078",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2549.25645432487","1908.95289466969","1823.15280841998","2057.29589735136","2289.69796396044","2665.55725197761","2979.8263588434","2717.1448652579","3021.0349606592","3471.6677890154","3861.30856837761","4300.83610719667","4751.82123659259","5000.30908227047","5427.79655580022","5865.238608149","6566.49056716277","7284.88734345398","8228.13188671656","8812.60473686415","9626.66489321844","10207.1698784161","10525.7225348883","10570.4198326029","11258.4572796244","11658.0457494095","12078.3488244026","12769.7625847853","13497.2493226353","14617.7849093704","14436.4850442823","16261.804554188","19492.7830985692","21395.3250372633",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24456.9039014423","25055.4193236677","25029.6562043313","24555.7371844605","24886.4332859069","25324.2796820935","26474.1382648709","29129.7077983302","30163.1493663805","31616.4215391604","33249.5649054739","35824.8087730705","36409.4298751362","38686.4794681244","41269.1393502135","43234.7775251052","46481.2058935205","49755.3303169953","49225.3222994355","48301.5892335667","49486.3468172412","51184.5536864212","49232.9702992315","48054.9903306666","49938.6709928819","51035.8875990701","52847.3008681902","53031.6619118219","55354.3891037228","57573.6930490229","51881.2896726873","58829.8500720505","68311.7729810483","71587.4817760577",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6828.90617535741","7327.12548139913","7754.42176736094","7916.48050914568","8090.41316325465","8257.15202933381","8577.77583481096","8934.84038772968","9293.07026109913","9403.53481205131","10035.6679516006","10204.2644648087","10177.1834560328","10577.5419839128","11603.7898345862","12321.5681243832","13114.9304765536","13685.5428681402","14340.1899595254","14110.1125806958","14610.3542981449","15161.788474642","16026.7665645915","15974.1174225855","15743.4224414507","14275.7189645299","13839.3946265852","14439.4061573788","15434.3679645583","15550.0988946261","14314.7721939757","15640.1570360399","17400.713764194","17913.683964503",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86860.6487815545","85689.597052606","85958.0704130764","84814.8502250279","88395.5440468382","92132.4609537258","93906.1792543237","96824.204011481","92315.0126940589","90851.1446076983","97402.3049009562","95759.5280675339","94694.4171248816","100108.892288418","107561.182561516","108503.799610377","107356.069800987","94912.0525719326","83886.3775669459","69932.4132952084","67769.5251034112","72666.7454512223","74503.0662730483","75169.0501537735","77756.4733197473","68409.2329733712","67256.7745306558","69205.7285326035","76767.494524441","78839.0924822846","66153.2638613342","68912.5455452314","78915.2547555887","83902.6711259525",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7184.24255355742","7990.92454395377","8700.19223406158","9507.37517295524","10139.5868670969","9925.99540713377","10532.7432102692","11445.4510864597","11881.2989596346","11508.1570461924","11544.408971054","11160.5678020884","9991.38212425664","10975.1282355658","12163.7828857743","13515.2278784799","14898.1981668952","16513.1538593529","17341.267103698","16249.8884353332","18066.4991325769","19322.2271236942","19629.898037089","20108.2057008715","19649.3528905429","20058.3386388829","20248.7213872191","23514.6670870249","24498.378926706","23535.01275094","22302.1504890016","26086.8023552274","29037.4891215021","29362.6924187322",
